id,total,eff
241,24,0
242,52,0
243,24,0
244,6,1
245,6,1
246,0,1
247,20,0
248,22,0
249,36,0
250,34,0
251,12,0
252,14,0
253,10,0
254,0,1
255,24,0
256,88,0
257,24,0
258,6,1
259,6,1
260,16,0
261,14,0
262,6,1
263,0,1
264,62,0
265,26,0
266,6,1
267,6,1
268,42,0
269,18,0
270,16,0
271,12,0
272,14,0
273,24,0
274,6,1
275,24,0
276,0,1
277,18,0
278,12,0
279,78,0
280,14,0
281,26,0
282,6,1
283,16,0
284,16,0
285,10,0
286,8,0
287,14,0
288,10,0
289,6,1
290,2,1
291,12,0
292,84,0
293,6,1
294,56,0
295,136,0
296,6,1
297,6,1
298,12,0
299,20,0
300,6,1
301,16,0
302,0,1
303,16,0
304,22,0
305,44,0
306,72,0
307,6,1
308,14,0
309,94,0
310,8,0
311,24,0
312,74,0
313,62,0
314,0,1
315,24,0
316,0,1
317,8,0
318,32,0
319,0,1
320,82,0
321,64,0
322,14,0
323,0,1
324,74,0
325,18,0
326,6,1
327,18,0
328,58,0
329,0,1
330,28,0
331,44,0
332,22,0
333,22,0
334,34,0
335,14,0
336,6,1
337,30,0
338,18,0
339,20,0
340,36,0
341,14,0
342,6,1
343,6,1
344,12,0
345,54,0
346,54,0
347,8,0
348,6,1
349,6,1
350,60,0
351,22,0
352,56,0
353,32,0
354,0,1
355,26,0
356,18,0
357,56,0
358,90,0
359,6,1
360,8,0
361,6,1
362,6,1
363,96,0
364,0,1
365,0,1
366,8,0
367,8,0
368,6,1
369,6,1
370,6,1
371,6,1
372,24,0
373,8,0
374,12,0
375,6,1
376,18,0
377,10,0
378,12,0
379,6,1
380,6,1
381,34,0
382,6,1
383,28,0
384,10,0
385,94,0
386,18,0
387,10,0
388,6,1
389,26,0
390,164,0
391,24,0
392,44,0
393,10,0
394,0,1
395,14,0
396,0,1
397,6,1
398,84,0
399,82,0
400,0,1
401,24,0
402,132,0
403,16,0
404,20,0
405,168,0
406,6,1
407,30,0
408,6,1
409,6,1
410,6,1
411,32,0
412,6,1
413,12,0
414,16,0
415,44,0
416,12,0
417,44,0
418,6,1
419,6,1
420,0,1
421,18,0
422,6,1
423,0,1
424,28,0
425,0,1
426,6,1
427,16,0
428,18,0
429,0,1
430,0,1
431,12,0
432,166,0
433,38,0
434,16,0
435,0,1
436,50,0
437,0,1
438,20,0
439,6,1
440,12,0
441,20,0
442,6,1
443,0,1
444,0,1
445,12,0
446,34,0
447,24,0
448,16,0
449,18,0
450,0,1
451,22,0
452,18,0
453,114,0
454,14,0
455,0,1
456,10,0
457,0,1
458,18,0
459,30,0
460,0,1
461,212,0
462,22,0
463,298,0
464,64,0
465,188,0
466,0,1
467,6,1
468,28,0
469,2,1
470,6,1
471,14,0
472,6,1
473,6,1
474,24,0
475,0,1
476,420,0
477,152,0
478,12,0
479,42,0
480,0,1
481,62,0
482,8,0
483,0,1
484,18,0
485,38,0
486,20,0
487,0,1
488,20,0
489,20,0
490,98,0
491,6,1
492,6,1
493,0,1
494,6,1
495,0,1
496,0,1
497,240,0
498,34,0
499,334,0
500,16,0
501,30,0
502,16,0
503,48,0
504,0,1
505,4,1
506,28,0
507,2,1
508,20,0
509,36,0
510,12,0
511,72,0
512,32,0
513,22,0
514,34,0
515,0,1
516,12,0
517,42,0
518,4,1
519,114,0
520,60,0
521,146,0
522,46,0
523,6,1
524,6,1
525,38,0
526,16,0
527,8,0
528,6,1
529,132,0
530,10,0
531,84,0
532,6,1
533,0,1
534,188,0
535,14,0
536,10,0
537,0,1
538,18,0
539,58,0
540,0,1
541,6,1
542,60,0
543,6,1
544,6,1
545,24,0
546,6,1
547,22,0
548,6,1
549,22,0
550,22,0
551,16,0
552,6,1
553,296,0
554,84,0
555,82,0
556,82,0
557,146,0
558,22,0
559,10,0
560,6,1
561,14,0
562,70,0
563,6,1
564,6,1
565,28,0
566,18,0
567,44,0
568,6,1
569,6,1
570,6,1
571,16,0
572,6,1
573,38,0
574,8,0
575,0,1
576,14,0
577,16,0
578,14,0
579,14,0
580,18,0
581,20,0
582,14,0
583,6,1
584,18,0
585,12,0
9241,52,0
9242,10,0
9243,70,0
9244,74,0
9245,108,0
9246,76,0
9247,42,0
9248,40,0
9249,74,0
9250,46,0
9251,130,0
9252,36,0
9253,44,0
9254,80,0
9255,18,0
9256,102,0
9257,24,0
9258,30,0
9259,8,0
9260,4,1
9261,30,0
9262,20,0
9263,56,0
9264,26,0
9265,12,0
9266,14,0
9267,54,0
9268,42,0
9269,28,0
9270,16,0
9271,16,0
9272,8,0
9273,130,0
9274,22,0
9275,84,0
9276,6,1
9277,50,0
9278,18,0
9279,112,0
9280,94,0
9281,40,0
9282,28,0
9283,40,0
9284,40,0
9285,6,1
9286,66,0
9287,50,0
9288,142,0
9289,14,0
9290,6,1
9291,22,0
9292,20,0
9293,108,0
9294,42,0
9295,28,0
9296,6,1
9297,102,0
9298,2,1
9299,40,0
9300,62,0
9301,42,0
9302,26,0
9303,36,0
9304,72,0
9305,28,0
9306,40,0
9307,14,0
9308,16,0
9309,24,0
9310,12,0
9311,32,0
9312,12,0
9313,12,0
9314,0,1
9315,8,0
9316,116,0
9317,50,0
9318,328,0
9319,24,0
9320,28,0
9321,146,0
9322,46,0
9323,6,1
9324,6,1
9325,38,0
9326,16,0
9327,8,0
9328,6,1
9329,132,0
9330,10,0
9331,84,0
9332,6,1
9333,0,1
9334,188,0
9335,14,0
9336,10,0
9337,0,1
9338,18,0
9339,58,0
9340,0,1
9341,6,1
9342,60,0
9343,6,1
9344,6,1
9345,24,0
9346,6,1
9347,22,0
9348,6,1
9349,22,0
9350,22,0
9351,16,0
9352,6,1
9353,296,0
9354,84,0
9355,82,0
9356,82,0
9357,146,0
9358,22,0
9359,10,0
9360,6,1
9361,14,0
9362,70,0
9363,6,1
9364,6,1
9365,28,0
9366,18,0
9367,44,0
9368,6,1
9369,6,1
9370,6,1
9371,16,0
9372,6,1
9373,38,0
9374,8,0
9375,0,1
9376,14,0
9377,16,0
9378,14,0
9379,14,0
9380,18,0
9381,20,0
9382,14,0
9383,6,1
9384,18,0
9385,12,0
9386,16,0
9387,6,1
9388,0,1
9389,6,1
9390,234,0
9391,18,0
9392,12,0
9393,16,0
9394,8,0
9395,6,1
9396,30,0
9397,0,1
9398,20,0
9399,180,0
9400,24,0
9401,8,0
9402,12,0
9403,6,1
9404,28,0
9405,2,1
9406,10,0
9407,6,1
9408,32,0
9409,0,1
9410,36,0
9411,0,1
9412,14,0
9413,0,1
9414,82,0
9415,4,1
9416,6,1
9417,0,1
9418,370,0
9419,50,0
9420,92,0
9421,14,0
9422,8,0
9423,22,0
9424,0,1
9425,20,0
9426,18,0
9427,66,0
9428,66,0
9429,6,1
9430,12,0
9431,60,0
9432,10,0
9433,6,1
9434,0,1
9435,0,1
9436,46,0
9437,10,0
9438,26,0
9439,38,0
9440,18,0
9441,0,1
9442,98,0
9443,84,0
9444,34,0
9445,6,1
9446,36,0
9447,30,0
9448,22,0
9449,52,0
9450,12,0
9451,0,1
9452,30,0
9453,10,0
9454,46,0
9455,72,0
9456,40,0
9457,0,1
9458,34,0
9459,24,0
9460,6,1
9461,336,0
9462,50,0
9463,26,0
9464,28,0
9465,44,0
9466,42,0
9467,10,0
9468,56,0
9469,22,0
9470,12,0
9471,6,1
9472,26,0
9473,6,1
9474,28,0
9475,4,1
9476,0,1
9477,6,1
9478,10,0
9479,6,1
9480,6,1
9481,22,0
9482,14,0
9483,24,0
9484,10,0
9485,18,0
9486,6,1
9487,10,0
9488,6,1
9489,74,0
9490,18,0
9491,10,0
9492,6,1
9493,44,0
9494,52,0
9495,60,0
9496,0,1
9497,38,0
9498,6,1
9499,86,0
9500,14,0
9501,6,1
9502,6,1
9503,10,0
9504,6,1
9505,44,0
9506,6,1
9507,18,0
9508,16,0
9509,22,0
9510,30,0
9511,26,0
9512,10,0
9513,24,0
9514,90,0
9515,8,0
9516,12,0
9517,28,0
9518,20,0
9519,16,0
9520,32,0
9521,10,0
9522,0,1
9523,0,1
9524,0,1
9525,8,0
9526,0,1
9527,0,1
9528,4,1
9529,16,0
9530,16,0
9531,14,0
9532,90,0
9533,26,0
9534,212,0
9535,0,1
9536,0,1
9537,58,0
9538,8,0
9539,10,0
9540,50,0
9541,6,1
9542,34,0
9543,24,0
9544,6,1
9545,6,1
9546,14,0
9547,24,0
9548,8,0
9549,18,0
9550,12,0
9551,20,0
9552,2,1
9553,16,0
9554,40,0
9555,20,0
9556,18,0
9557,36,0
9558,54,0
9559,6,1
9560,48,0
9561,6,1
9562,0,1
9563,6,1
9564,12,0
9565,6,1
9566,6,1
9567,18,0
9568,6,1
9569,6,1
9570,12,0
9571,6,1
9572,0,1
9573,6,1
9574,6,1
9575,34,0
9576,0,1
9577,10,0
9578,0,1
9579,6,1
9580,0,1
9581,0,1
9582,0,1
9583,6,1
9584,20,0
9585,36,0
9586,6,1
9587,6,1
9588,20,0
9589,18,0
9590,52,0
9591,20,0
9592,12,0
9593,8,0
9594,14,0
9595,6,1
9596,14,0
9597,6,1
9598,18,0
9599,82,0
9600,180,0
9601,20,0
9602,68,0
9603,32,0
9604,34,0
9605,34,0
9606,18,0
9607,44,0
9608,8,0
9609,42,0
9610,18,0
9611,6,1
9612,16,0
9613,10,0
9614,16,0
9615,26,0
9616,118,0
9617,36,0
9618,36,0
9619,58,0
9620,42,0
9621,14,0
9622,24,0
9623,90,0
9624,6,1
9625,216,0
9626,24,0
9627,18,0
9628,18,0
9629,8,0
9630,26,0
9631,4,1
9632,24,0
9633,16,0
9634,8,0
9635,12,0
9636,26,0
9637,10,0
9638,8,0
9639,12,0
9640,8,0
9641,10,0
9642,6,1
9643,36,0
9644,68,0
9645,26,0
9646,2,1
9647,12,0
9648,6,1
9649,22,0
9650,30,0
9651,4,1
9652,6,1
9653,8,0
9654,14,0
9655,10,0
9656,6,1
9657,24,0
9658,12,0
9659,10,0
9660,6,1
9661,12,0
9662,8,0
9663,8,0
9664,2,1
9665,26,0
9666,30,0
9667,10,0
9668,22,0
9669,0,1
9670,0,1
9671,0,1
9672,8,0
9673,12,0
9674,20,0
9675,14,0
9676,10,0
9677,14,0
9678,6,1
9679,26,0
9680,54,0
9681,36,0
9682,4,1
9683,18,0
9684,12,0
9685,6,1
9686,4,1
9687,26,0
9688,14,0
9689,16,0
9690,12,0
9691,36,0
9692,16,0
9693,22,0
9694,6,1
9695,62,0
9696,0,1
9697,10,0
9698,12,0
9699,152,0
9700,14,0
9701,12,0
9702,22,0
9703,12,0
9704,6,1
9705,4,1
9706,16,0
9707,16,0
9708,24,0
9709,14,0
9710,6,1
9711,108,0
9712,22,0
9713,12,0
9714,6,1
9715,12,0
9716,12,0
9717,116,0
9718,204,0
9719,10,0
9720,2,1
9721,6,1
9722,20,0
9723,12,0
9724,10,0
9725,8,0
9726,8,0
9727,4,1
9728,32,0
9729,6,1
9730,44,0
9731,80,0
9732,54,0
9733,62,0
9734,14,0
9735,22,0
9736,12,0
9737,44,0
9738,30,0
9739,20,0
9740,36,0
9741,12,0
9742,0,1
9743,2,1
9744,58,0
9745,40,0
9746,76,0
9747,0,1
9748,24,0
9749,12,0
9750,94,0
9751,6,1
9752,6,1
9753,54,0
9754,16,0
9755,0,1
9756,56,0
9757,262,0
9758,54,0
9759,28,0
9760,46,0
9761,38,0
9762,0,1
9763,66,0
9764,98,0
9765,32,0
9766,62,0
9767,0,1
9768,90,0
9769,36,0
9770,60,0
9771,6,1
9772,60,0
9773,64,0
9774,38,0
9775,48,0
9776,72,0
9777,186,0
9778,2,1
9779,12,0
9780,76,0
9781,6,1
9782,24,0
9783,30,0
9784,18,0
9785,22,0
9786,58,0
9787,40,0
9788,32,0
9789,74,0
9790,152,0
9791,6,1
9792,48,0
9793,18,0
9794,70,0
9795,6,1
9796,6,1
9797,6,1
9798,6,1
9799,54,0
9800,8,0
9801,12,0
9802,132,0
9803,20,0
9804,6,1
9805,392,0
9806,26,0
9807,12,0
9808,6,1
9809,18,0
9810,60,0
9811,46,0
9812,68,0
9813,40,0
9814,10,0
9815,102,0
9816,138,0
9817,12,0
9818,54,0
9819,10,0
9820,64,0
9821,108,0
9822,6,1
9823,40,0
9824,256,0
9825,22,0
9826,36,0
9827,8,0
9828,6,1
9829,10,0
9830,6,1
9831,16,0
9832,92,0
9833,78,0
9834,12,0
9835,10,0
9836,2,1
9837,102,0
9838,246,0
9839,34,0
9840,22,0
9841,28,0
9842,18,0
9843,38,0
9844,20,0
9845,0,1
9846,24,0
9847,186,0
9848,166,0
9849,200,0
9850,52,0
9851,256,0
9852,2,1
9853,176,0
9854,36,0
9855,220,0
9856,110,0
9857,28,0
9858,24,0
9859,20,0
9860,60,0
9861,6,1
9862,56,0
9863,62,0
9864,42,0
9865,254,0
9866,78,0
9867,16,0
9868,40,0
9869,66,0
9870,88,0
9871,20,0
9872,38,0
9873,10,0
9874,20,0
9875,0,1
9876,0,1
9877,18,0
9878,20,0
9879,16,0
9880,10,0
9881,14,0
9882,0,1
9883,16,0
9884,342,0
9885,6,1
9886,84,0
9887,10,0
9888,16,0
9889,0,1
9890,10,0
9891,14,0
9892,36,0
9893,36,0
9894,20,0
9895,20,0
9896,8,0
9897,6,1
9898,2,1
9899,0,1
9900,8,0
9901,0,1
9902,10,0
9903,26,0
9904,2,1
9905,4,1
9906,20,0
9907,6,1
9908,2,1
9909,2,1
9910,10,0
9911,24,0
9912,58,0
9913,62,0
9914,6,1
9915,6,1
9916,48,0
9917,52,0
9918,30,0
9919,50,0
9920,16,0
9921,10,0
9922,24,0
9923,38,0
9924,68,0
9925,60,0
9926,36,0
9927,24,0
9928,32,0
9929,26,0
9930,20,0
9931,266,0
9932,12,0
9933,14,0
9934,18,0
9935,0,1
9936,72,0
9937,0,1
9938,22,0
9939,68,0
9940,18,0
9941,14,0
9942,66,0
9943,32,0
9944,46,0
9945,38,0
9946,140,0
9947,18,0
9948,156,0
9949,18,0
9950,34,0
9951,94,0
9952,128,0
9953,90,0
9954,14,0
9955,32,0
9956,26,0
9957,16,0
9958,6,1
9959,16,0
9960,46,0
9961,14,0
9962,82,0
9963,56,0
9964,12,0
9965,16,0
9966,26,0
9967,8,0
9968,198,0
9969,174,0
9970,82,0
9971,34,0
9972,138,0
9973,24,0
9974,20,0
9975,34,0
9976,10,0
9977,2,1
9978,80,0
9979,62,0
9980,20,0
9981,16,0
9982,96,0
9983,82,0
9984,14,0
9985,6,1
9986,8,0
9987,74,0
9988,76,0
9989,20,0
9990,6,1
9991,32,0
9992,6,1
9993,18,0
9994,36,0
9995,130,0
9996,0,1
9997,32,0
9998,28,0
9999,6,1
10000,56,0
10001,56,0
10002,20,0
10003,90,0
10004,34,0
10005,8,0
10006,26,0
10007,34,0
10008,20,0
10009,46,0
10010,20,0
10011,22,0
10012,6,1
10013,0,1
10014,54,0
10015,36,0
10016,6,1
10017,26,0
10018,62,0
10019,126,0
10020,24,0
10021,106,0
10022,0,1
10023,6,1
10024,24,0
10025,16,0
10026,20,0
10027,76,0
10028,28,0
10029,12,0
10030,122,0
10031,36,0
10032,6,1
10033,86,0
10034,0,1
10035,0,1
10036,38,0
10037,6,1
10038,62,0
10039,6,1
10040,30,0
10041,40,0
10042,12,0
10043,36,0
10044,18,0
10045,122,0
10046,40,0
10047,16,0
10048,6,1
10049,22,0
10050,6,1
10051,8,0
10052,0,1
10053,28,0
10054,124,0
10055,24,0
10056,58,0
10057,162,0
10058,92,0
10059,2,1
10060,6,1
10061,134,0
10062,26,0
10063,104,0
10064,98,0
10065,6,1
10066,6,1
10067,54,0
10068,24,0
10069,30,0
10070,0,1
10071,16,0
10072,28,0
10073,76,0
10074,68,0
10075,28,0
10076,122,0
10077,40,0
10078,24,0
10079,0,1
10080,460,0
10081,64,0
10082,56,0
10083,18,0
10084,18,0
10085,58,0
10086,90,0
10087,98,0
10088,88,0
10089,36,0
10090,26,0
10091,74,0
10092,18,0
10093,12,0
10094,14,0
10095,72,0
10096,18,0
10097,88,0
10098,18,0
10099,0,1
10100,54,0
10101,22,0
10102,82,0
10103,40,0
10104,50,0
10105,28,0
10106,6,1
10107,166,0
10108,6,1
10109,6,1
10110,16,0
10111,10,0
10112,34,0
10113,18,0
10114,52,0
10115,6,1
10116,6,1
10117,4,1
10118,44,0
10119,24,0
10120,28,0
10121,28,0
10122,48,0
10123,6,1
10124,4,1
10125,46,0
10126,14,0
10127,16,0
10128,30,0
10129,6,1
10130,70,0
10131,4,1
10132,2,1
10133,10,0
10134,20,0
10135,136,0
10136,2,1
10137,30,0
10138,24,0
10139,18,0
10140,70,0
10141,2,1
10142,14,0
10143,2,1
10144,34,0
10145,8,0
10146,16,0
10147,6,1
10148,2,1
10149,10,0
10150,0,1
10151,6,1
10152,182,0
10153,98,0
10154,6,1
10155,96,0
10156,68,0
10157,0,1
10158,0,1
10159,34,0
10160,16,0
10161,58,0
10162,6,1
10163,0,1
10164,48,0
10165,14,0
10166,6,1
10167,86,0
10168,6,1
10169,16,0
10170,56,0
10171,14,0
10172,14,0
10173,10,0
10174,38,0
10175,0,1
10176,20,0
10177,34,0
10178,22,0
10179,6,1
10180,148,0
10181,92,0
10182,6,1
10183,6,1
10184,58,0
10185,0,1
10186,6,1
10187,6,1
10188,10,0
10189,0,1
10190,88,0
10191,168,0
10192,6,1
10193,6,1
10194,118,0
10195,108,0
10196,6,1
10197,30,0
10198,14,0
10199,0,1
10200,24,0
10201,28,0
10202,22,0
10203,22,0
10204,26,0
10205,196,0
10206,6,1
10207,104,0
10208,46,0
10209,34,0
10210,52,0
10211,14,0
10212,138,0
10213,12,0
10214,32,0
10215,6,1
10216,40,0
10217,52,0
10218,12,0
10219,48,0
10220,14,0
10221,2,1
10222,94,0
10223,6,1
10224,6,1
10225,94,0
10226,0,1
10227,14,0
10228,50,0
10229,6,1
10230,26,0
10231,6,1
10232,14,0
10233,6,1
10234,82,0
10235,34,0
10236,56,0
10237,10,0
10238,44,0
10239,0,1
10240,0,1
10241,42,0
10242,98,0
10243,44,0
10244,152,0
10245,232,0
10246,42,0
10247,64,0
10248,116,0
10249,78,0
10250,56,0
10251,70,0
10252,136,0
10253,62,0
10254,114,0
10255,32,0
10256,196,0
10257,10,0
10258,166,0
10259,46,0
10260,176,0
