comment,segmented_text_with_pos,numeric_column
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感,好吃(v) 的(uj) 本幫菜(n)  (x) 勝(v) 過(ug) 很多(m) 新開(v) 的(uj) 上海(ns) 餐館(n) 就是(d) 餐廳(n) 裝潢(n) 有(v) 點(q) 廉價(n) 感(v),"[28, 2, 6, 3, 1, 12, 2, 13, 3, 1, 29, 2, 5, 3, 1, 1, 2, 4, 3, 1, 30, 2, 6, 3, 1, 31, 2, 32, 3, 1, 33, 2, 34, 3, 1, 35, 2, 6, 3, 1, 12, 2, 13, 3, 1, 18, 2, 14, 3, 1, 36, 2, 5, 3, 1, 37, 2, 7, 3, 1, 38, 2, 5, 3, 1, 39, 2, 5, 3, 1, 40, 2, 6, 3, 1, 19, 2, 20, 3, 1, 41, 2, 5, 3, 1, 42, 2, 6, 3]"
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5,經典(n) 上海(ns) 菜(n) ，(x) 台北(ns) 已經(d) 很(d) 稀有(v) 了(ul) 。(x)  (x) 菜色(n) 經典(n) 之外(f) ，(x) 服務(vn) 也(d) 是(v) 經典(n) 。(x) 茶水(n) 、(x) 客(ng) 製(zg) 化(v) 點(q) 餐(ng) 、(x) 餐(ng) 後(nr) 水果(n) …(x) …(x) ，(x) 真的(d) 令人(nrt) 回味(v) 無窮(d) 。(x) 大(a) 推(v) 醃(v) 篤(ag) 鮮(a) 湯品(n) ，(x) 讓(x) 奶奶(n) 的(uj) 拿手(v) 美味(nz) 經典(n) 重現(v) 。(x)  (x) 餐點(n) ：(x) 5(x) /(x) 5(x)  (x)  (x) |(x)  (x)  (x) 服務(vn) ：(x) 5(x) /(x) 5(x)  (x)  (x) |(x)  (x)  (x) 氣氛(n) ：(x) 4(x) /(x) 5(x),"[9, 2, 5, 3, 1, 18, 2, 14, 3, 1, 43, 2, 5, 3, 1, 10, 2, 4, 3, 1, 44, 2, 14, 3, 1, 45, 2, 7, 3, 1, 46, 2, 7, 3, 1, 47, 2, 6, 3, 1, 48, 2, 49, 3, 1, 11, 2, 4, 3, 1, 1, 2, 4, 3, 1, 50, 2, 5, 3, 1, 9, 2, 5, 3, 1, 51, 2, 52, 3, 1, 10, 2, 4, 3, 1, 21, 2, 22, 3, 1, 53, 2, 7, 3, 1, 54, 2, 6, 3, 1, 9, 2, 5, 3, 1, 11, 2, 4, 3, 1, 55, 2, 5, 3, 1, 23, 2, 4, 3, 1, 56, 2, 15, 3, 1, 57, 2, 58, 3, 1, 59, 2, 6, 3, 1, 19, 2, 20, 3, 1, 24, 2, 15, 3, 1, 23, 2, 4, 3, 1, 24, 2, 15, 3, 1, 60, 2, 61, 3, 1, 62, 2, 5, 3, 1, 25, 2, 4, 3, 1, 25, 2, 4, 3, 1, 10, 2, 4, 3, 1, 63, 2, 7, 3, 1, 64, 2, 65, 3, 1, 66, 2, 6, 3, 1, 67, 2, 7, 3, 1, 11, 2, 4, 3, 1, 68, 2, 26, 3, 1, 69, 2, 6, 3, 1, 70, 2, 6, 3, 1, 71, 2, 72, 3, 1, 73, 2, 26, 3, 1, 74, 2, 5, 3, 1, 10, 2, 4, 3, 1, 75, 2, 4, 3, 1, 76, 2, 5, 3, 1, 12, 2, 13, 3, 1, 77, 2, 6, 3, 1, 78, 2, 79, 3, 1, 9, 2, 5, 3, 1, 80, 2, 6, 3, 1, 11, 2, 4, 3, 1, 1, 2, 4, 3, 1, 81, 2, 5, 3, 1, 16, 2, 4, 3, 1, 8, 2, 4, 3, 1, 17, 2, 4, 3, 1, 8, 2, 4, 3, 1, 1, 2, 4, 3, 1, 1, 2, 4, 3, 1, 27, 2, 4, 3, 1, 1, 2, 4, 3, 1, 1, 2, 4, 3, 1, 21, 2, 22, 3, 1, 16, 2, 4, 3, 1, 8, 2, 4, 3, 1, 17, 2, 4, 3, 1, 8, 2, 4, 3, 1, 1, 2, 4, 3, 1, 1, 2, 4, 3, 1, 27, 2, 4, 3, 1, 1, 2, 4, 3, 1, 1, 2, 4, 3, 1, 82, 2, 5, 3, 1, 16, 2, 4, 3, 1, 83, 2, 4, 3, 1, 17, 2, 4, 3, 1, 8, 2, 4, 3]"
,,[]
,,[]
,,[]
,,[]
,,[]
,,[]
,,[]
,,[]
