Comment,Prediction
已經 在 四月 倒 了   不用 來   餐點 ： 1 / 5     |     服務 ： 1 / 5     |     氣氛 ： 1 / 5,0
逛累 了 可以 坐下 好 好吃 東西 ～ 餐點 費用 在 那區 算是 平價 囉 ！   餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5,0
蒜味 清炒 很 讚 ， 廚師 厲害 哦   這價位 附湯 跟 沙拉 ， 還不錯 ~,0
其實 一顆 星 都 不想 給 。   人不多 光是 點餐 就 等 了 10 分 ， 餐點 等 了 半小時 ， 店員 服務態度 也 不佳 、 散漫 ， 還收 10% 服務費 ， 餐點 也 很 普通 ， 只有 能 吃 的 程度 ， 不 好吃 但 也 不會 到 難 吃 。 整體 cp 值 很 低 ！,0
奶油 蝦仁 歐姆 蛋包 飯 好吃 ， 給二 姊 一起 去 吃 ， 當時 發現 這間 就 一直 注意 想 吃 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5,0
,0
從 沒吃過 這家 餐點 ， 剛好 來 到 車站 也 是 蠻 臨時 決定 ， 選擇 這家 ， 意外 的 好吃 ！ 份量 剛剛 好孩子 也 吃 的 很 高興 喔   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點,0
東西滿 好吃 的 ， 用餐 環境 和服 務 也 不錯 ， 附餐 的 沙拉 和 濃湯 也 好吃 ， 不 知道 吃 什麼 的 時候 可以 考慮 ， C / p 值佳 ！,0
本人 點和風 炸雞 咖哩 歐姆 蛋包 飯 ， 吃 到 有生 以來 吃過 最難 吃 的 蛋 ， 真的 一股 油耗 味 ， 吃 一半 直接 不吃 了 ， 感覺 不是 油有 問題 不然 就是 回鍋油 ， 回家 打 評論 當下 嘴巴 還是 那 股油味 ， 同盤 的 薯條 沒 問題 還不錯 ， 炸雞 的 皮則 又 黑 又 乾 又 硬 ， 真心 建議 廚師 自己 親 口吃 吃 看 他 的 曠世 料理 ， 整間 最 滿意 的 是 檸檬水 ， 底下 那些 給 五星 的 不 知道 是 怎麼 回事 = =,0
難 吃 到 我 真的 好想哭,0
咖哩 偏 日式 ， 咖哩 醬 大概 是 只有 要 讓 你 沾 豬排 ， 才 會 只給 一點點   豬排 外皮 滿 酥脆 的 ， 是 哪種 日式 的 豬排 ， 歐姆 蛋包 很漂亮 也 很 好吃 ， 飯 有用 番茄 醬 炒過 ， 薯條 滿 鹹 的 可以 配飯 吃   濃湯 不 太 鹹 ， 但滿 濃郁 的   沙拉 是 胡麻 醬 不 多 ， 有 生菜 、 罐頭 玉米 、 紅蘿 蔔 之類 的     然 後 這家 有 額外 收服 務費 10%,0
餐點 稍貴 ， 份量 少 。 不建議 食量 大 的 來 吃 。 焗 烤 飯 偏軟 ， 不硬 。 紅酒 牛肉 是 料理 包 或 中央 工廠 做 的 味道 。   餐點 ： 2 / 5     |     服務 ： 2 / 5     |     氣氛 ： 2 / 5,0
