id,username,msgtime,star,comment,effflag,storeid,segmented
586,Ken lin,3 個月前,4,餐點：3/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 合菜戴帽 蔥油餅,0,1734,餐點 ： 3 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   合菜 戴帽   蔥油餅
587,YuanPu Chiao,4 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1734,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
588,Christy TSAI,4 個月前,4,,0,1734,
589,ChiKong Wu,4 個月前,5,餐點：5/5  |  服務：3/5  |  氣氛：3/5,1,1734,餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
590,Chou Danching,4 個月前,5,餐點其實應該要給五星的，不過對我來說實在有點鹹，下次一定要跟店家叮嚀少鹽！ 最愛貓耳朵，台北有地道山西麵食的餐廳實在太少了，其實山西的各式麵點都是值得品嚐的。貓耳朵看起來、吃起來都有點像義大利貝殼麵，但更香更有彈性，木肉炒耳就是木須肉炒貓耳朵，有肉、有蛋、有青菜，是一道非常家常又營養的料理。蔥油餅是蝸牛式的蔥油餅，不油不鹹有青蔥的味道，非常推薦蔥油餅配酸辣湯，這裡的酸辣湯是地道的北京味，有濃濃的白胡椒香氣，料多實在真的不錯。炸醬麵也是一絕，拉麵麵條Q彈有勁，炸醬裡的甜麵醬很少，全是瘦肉燥，加上黃瓜絲和綠豆芽，用料實在太大方啦！素蒸餃味道也不錯，麵皮使用燙麵揉製，味道很棒。雞絲涼皮非常適合夏天吃，涼皮Q雞絲多醬料有芥末的嗆，清炒豆苗也是鮮嫩無比，合菜戴帽的料理和木須肉有點類似，各式小菜也都不錯，是一間值得日常用餐的餐廳。唯一不便的是只能付現。 餐點：4/5  |  服務：5/5  |  氣氛：5/5,0,1734,餐點 其實 應該 要給 五星 的 ， 不過 對 我 來 說 實在 有點 鹹 ， 下次 一定 要 跟 店家 叮嚀少 鹽 ！   最愛貓 耳朵 ， 台北 有 地道 山西 麵 食 的 餐廳 實在 太少 了 ， 其實 山西 的 各式 麵 點都 是 值得 品嚐 的 。 貓 耳朵 看起 來 、 吃 起來 都 有點 像 義 大利 貝殼 麵 ， 但 更 香 更 有 彈性 ， 木肉 炒 耳 就是 木須 肉 炒貓 耳朵 ， 有肉 、 有蛋 、 有 青菜 ， 是 一道 非常 家常 又 營養 的 料理 。 蔥油餅 是 蝸牛式 的 蔥 油餅 ， 不油 不 鹹 有 青蔥 的 味道 ， 非常 推薦 蔥 油餅 配 酸辣 湯 ， 這裡 的 酸辣 湯是 地道 的 北京 味 ， 有 濃濃 的 白胡椒 香氣 ， 料多實 在 真的 不錯 。 炸醬 麵 也 是 一絕 ， 拉 麵 麵 條 Q 彈有 勁 ， 炸醬裡 的 甜 麵 醬 很少 ， 全是 瘦肉 燥 ， 加上 黃 瓜絲 和 綠 豆芽 ， 用料 實在 太 大方 啦 ！ 素蒸 餃 味道 也 不錯 ， 麵 皮 使用 燙 麵 揉 製 ， 味道 很棒 。 雞絲涼 皮 非常 適合 夏天 吃 ， 涼皮 Q 雞絲多 醬料 有 芥末 的 嗆 ， 清炒 豆苗 也 是 鮮嫩 無 比 ， 合菜 戴帽 的 料理 和 木須 肉 有 點類 似 ， 各式 小菜 也 都 不錯 ， 是 一間 值得 日常 用餐 的 餐廳 。 唯一 不便 的 是 只能 付現 。   餐點 ： 4 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
591,楊凌,4 個月前,5,老店 老味道 適合老朋友聚會的好地方 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1734,老店   老 味道   適合 老朋友 聚會 的 好 地方   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
592,huang rick,4 個月前,4,阿嬤很多的店 好吃 餐點：3/5  |  服務：3/5  |  氣氛：3/5,0,1734,阿嬤 很多 的 店   好吃   餐點 ： 3 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
593,Emily Chen,4 個月前,5,真愛 台北最棒的餐廳之一 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1734,真愛   台北 最棒 的 餐廳 之一   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
594,edward wang,4 個月前,5,服務態度很好 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1734,服務態度 很 好   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
595,Andy Ou Yang,4 個月前,4,餐點：4/5  |  服務：4/5  |  氣氛：3/5,0,1734,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 3 / 5
596,Felix Tsang,4 個月前,3,老派餐廳，傳統風味。雖然我覺得菜品有點淡。總而言之，這還不錯，但並不壯觀。 餐點：3/5  |  服務：3/5  |  氣氛：3/5,0,1734,老派 餐廳 ， 傳統 風味 。 雖然 我 覺得 菜品 有點 淡 。 總 而言 之 ， 這還 不錯 ， 但 並不壯觀 。   餐點 ： 3 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
