id,total,eff
586,16,0
587,6,0
588,0,1
589,6,0
590,234,0
591,18,0
592,12,0
593,16,0
594,8,0
595,6,0
596,30,0
597,0,1
598,20,0
599,180,0
600,24,0
601,8,0
602,12,0
603,6,0
604,28,0
605,2,1
606,10,0
607,6,0
608,32,0
609,0,1
610,36,0
611,0,1
612,8,0
613,0,1
614,82,0
615,4,1
616,0,1
617,0,1
618,96,0
619,50,0
620,22,0
621,40,0
622,50,0
623,0,1
624,64,0
625,124,0
626,0,1
627,74,0
628,68,0
629,12,0
630,0,1
631,10,0
632,6,0
633,0,1
634,0,1
635,22,0
636,32,0
637,6,0
638,110,0
639,40,0
640,6,0
641,30,0
642,6,0
643,16,0
644,6,0
645,30,0
646,2,1
647,16,0
648,6,0
649,144,0
650,0,1
651,28,0
652,14,0
653,36,0
654,8,0
655,16,0
656,10,0
657,8,0
658,26,0
659,36,0
660,0,1
661,50,0
662,92,0
663,52,0
664,10,0
665,6,0
666,6,0
667,54,0
668,76,0
669,0,1
670,60,0
671,16,0
672,24,0
673,18,0
674,0,1
675,0,1
676,142,0
677,24,0
678,102,0
679,8,0
680,28,0
681,136,0
682,50,0
683,28,0
684,64,0
685,46,0
686,36,0
687,84,0
688,0,1
689,8,0
690,178,0
691,6,0
692,0,1
693,26,0
694,6,0
695,0,1
696,114,0
697,26,0
698,6,0
699,8,0
700,14,0
701,224,0
702,594,0
703,50,0
704,8,0
705,0,1
706,0,1
707,0,1
708,22,0
709,4,1
710,54,0
711,6,0
712,18,0
713,0,1
714,66,0
715,6,0
716,30,0
717,0,1
718,50,0
719,46,0
720,56,0
721,22,0
722,6,0
723,34,0
724,6,0
725,26,0
726,24,0
727,26,0
728,2,1
729,134,0
730,14,0
731,30,0
732,34,0
733,24,0
734,16,0
735,18,0
736,28,0
737,0,1
738,22,0
739,12,0
740,44,0
741,6,0
742,6,0
743,60,0
744,40,0
745,0,1
746,150,0
747,64,0
748,10,0
749,66,0
750,6,0
751,34,0
752,80,0
753,20,0
754,8,0
755,6,0
756,4,1
757,59,0
758,6,0
759,30,0
760,110,0
761,0,1
762,6,0
763,0,1
764,0,1
765,22,0
766,18,0
767,72,0
768,0,1
769,12,0
770,0,1
771,0,1
772,68,0
773,10,0
774,24,0
775,20,0
776,12,0
777,4,1
778,0,1
779,10,0
780,6,0
781,20,0
782,90,0
783,6,0
784,4,1
785,20,0
786,138,0
787,16,0
788,18,0
789,42,0
790,0,1
791,8,0
792,2,1
793,8,0
794,32,0
795,14,0
796,6,0
797,50,0
798,10,0
799,4,1
800,0,1
801,48,0
802,8,0
803,28,0
804,32,0
805,4,1
806,10,0
807,6,0
808,2,1
809,10,0
810,70,0
811,16,0
812,10,0
813,8,0
814,14,0
815,0,1
816,28,0
817,0,1
818,22,0
819,6,0
820,4,1
821,30,0
822,16,0
823,22,0
824,70,0
825,6,0
826,0,1
827,8,0
828,8,0
829,10,0
830,26,0
831,6,0
832,36,0
833,16,0
834,0,1
835,0,1
836,6,0
837,0,1
838,12,0
839,90,0
840,6,0
841,58,0
842,6,0
843,48,0
844,42,0
845,226,0
846,8,0
847,24,0
848,44,0
849,0,1
850,30,0
851,0,1
852,130,0
853,0,1
854,6,0
855,6,0
856,0,1
857,6,0
858,8,0
859,54,0
860,107,0
861,6,0
862,6,0
863,42,0
864,36,0
865,8,0
866,6,0
867,48,0
868,10,0
869,168,0
870,0,1
871,16,0
872,6,0
873,6,0
874,48,0
875,42,0
876,10,0
877,50,0
878,6,0
879,8,0
880,6,0
881,82,0
882,114,0
883,40,0
884,6,0
885,54,0
886,6,0
887,14,0
888,26,0
889,18,0
890,24,0
891,28,0
892,14,0
893,8,0
894,18,0
895,12,0
896,44,0
897,6,0
898,10,0
899,22,0
900,14,0
901,16,0
902,16,0
903,50,0
904,0,1
905,58,0
906,0,1
907,28,0
908,0,1
909,34,0
910,112,0
911,64,0
912,20,0
913,18,0
914,38,0
915,30,0
916,36,0
917,6,0
918,372,0
919,54,0
920,12,0
921,24,0
922,32,0
923,16,0
924,104,0
925,32,0
926,6,0
927,18,0
928,6,0
929,16,0
930,28,0
931,34,0
932,0,1
933,24,0
934,60,0
935,6,0
936,12,0
937,2,1
938,0,1
939,24,0
940,60,0
941,44,0
942,26,0
943,12,0
944,18,0
945,0,1
946,6,0
947,0,1
948,0,1
949,48,0
950,378,0
951,12,0
952,66,0
953,12,0
954,6,0
955,0,1
956,0,1
957,28,0
958,104,0
959,6,0
960,12,0
961,6,0
962,6,0
963,6,0
964,6,0
965,6,0
966,72,0
967,12,0
968,0,1
969,40,0
970,226,0
971,6,0
972,6,0
973,12,0
974,48,0
975,6,0
976,6,0
977,64,0
978,0,1
979,58,0
980,18,0
981,12,0
982,40,0
983,22,0
984,8,0
985,14,0
986,14,0
987,22,0
988,10,0
989,36,0
990,0,1
991,364,0
992,36,0
993,42,0
994,34,0
995,10,0
996,28,0
997,6,0
998,0,1
999,10,0
1000,84,0
1001,86,0
1002,30,0
1003,22,0
1004,10,0
1005,6,0
1006,0,1
1007,22,0
1008,4,1
1009,6,0
1010,0,1
1011,0,1
1012,0,1
1013,12,0
1014,0,1
1015,12,0
1016,0,1
1017,8,0
1018,24,0
1019,4,1
1020,18,0
1021,0,1
1022,14,0
1023,6,0
1024,4,1
1025,6,0
1026,18,0
1027,12,0
1028,6,0
1029,6,0
1030,24,0
1031,26,0
1032,34,0
1033,34,0
1034,38,0
1035,4,1
1036,12,0
1037,26,0
1038,6,0
1039,0,1
1040,6,0
1041,52,0
1042,8,0
1043,18,0
1044,6,0
1045,4,1
1046,6,0
1047,56,0
1048,0,1
1049,22,0
1050,0,1
1051,6,0
1052,16,0
1053,12,0
1054,16,0
1055,0,1
1056,6,0
1057,0,1
1058,10,0
1059,20,0
1060,14,0
1061,0,1
1062,20,0
1063,26,0
1064,16,0
1065,0,1
1066,8,0
1067,2,1
1068,32,0
1069,0,1
1070,6,0
1071,22,0
1072,82,0
1073,0,1
1074,0,1
1075,0,1
1076,0,1
1077,0,1
1078,24,0
1079,0,1
1080,0,1
1081,20,0
1082,90,0
1083,12,0
1084,76,0
1085,14,0
1086,22,0
1087,60,0
1088,122,0
1089,24,0
1090,10,0
1091,66,0
1092,78,0
1093,24,0
1094,48,0
1095,10,0
1096,10,0
1097,6,0
1098,6,0
1099,18,0
1100,0,1
1101,22,0
1102,72,0
1103,206,0
1104,12,0
1105,44,0
1106,188,0
1107,24,0
1108,40,0
1109,6,0
1110,52,0
1111,22,0
1112,84,0
1113,28,0
1114,14,0
1115,50,0
1116,6,0
1117,16,0
1118,0,1
1119,66,0
1120,24,0
1121,58,0
1122,186,0
1123,10,0
1124,4,1
1125,0,1
1126,14,0
1127,24,0
1128,96,0
1129,10,0
1130,8,0
1131,12,0
1132,26,0
1133,0,1
1134,48,0
1135,24,0
1136,6,0
1137,0,1
1138,22,0
1139,26,0
1140,64,0
1141,12,0
1142,24,0
1143,12,0
1144,6,0
1145,0,1
1146,6,0
1147,18,0
1148,32,0
1149,82,0
1150,48,0
1151,12,0
1152,20,0
1153,44,0
1154,110,0
1155,20,0
1156,6,0
1157,8,0
1158,6,0
1159,6,0
1160,0,1
1161,6,0
1162,38,0
1163,4,1
1164,14,0
1165,18,0
1166,2,1
1167,4,1
1168,40,0
1169,10,0
1170,34,0
1171,12,0
1172,10,0
1173,4,1
1174,20,0
1175,0,1
1176,16,0
1177,16,0
1178,14,0
1179,56,0
1180,20,0
1181,4,1
1182,150,0
1183,0,1
1184,26,0
1185,2,1
1186,6,0
1187,0,1
1188,20,0
1189,0,1
1190,6,0
1191,14,0
1192,0,1
1193,8,0
1194,4,1
1195,0,1
1196,0,1
1197,10,0
1198,0,1
1199,18,0
1200,20,0
1201,10,0
1202,40,0
1203,0,1
1204,0,1
1205,0,1
1206,8,0
1207,2,1
1208,0,1
1209,0,1
1210,6,0
1211,6,0
1212,4,1
1213,0,1
1214,4,1
1215,8,0
1216,0,1
1217,0,1
1218,4,1
1219,16,0
1220,16,0
1221,12,0
1222,0,1
1223,158,0
1224,0,1
1225,0,1
1226,0,1
1227,0,1
1228,0,1
1229,0,1
1230,4,1
1231,8,0
1232,12,0
1233,10,0
1234,0,1
1235,0,1
1236,0,1
1237,10,0
1238,0,1
1239,16,0
1240,2,1
