comment
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
非常美味的味道 招牌菜很多 而且很有鄉味 很地道的料理 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5

正宗江浙菜料理，口味相當的好 值得一試?????????? 餐點：5/5  |  服務：5/5  |  氣氛：5/5
停車場：立體停車場 不是很好停 餐點：4/5  |  服務：4/5  |  氣氛：4/5  附近的停車場 付費室內停車場
相當不錯的老上海本幫菜口味 餐點：5/5  |  服務：5/5  |  氣氛：3/5  建議的餐點 東坡肉 韭黃鱔糊 砂鍋醃鮮 臭豆腐 小黃魚燒豆腐
醉雞、砂鍋醃鮮很棒，蟹黃豆腐、菜飯好吃，餐廳在地下室，裝潢比較舊了，但是服務不錯，價格也不貴 餐點：4/5  |  服務：4/5  |  氣氛：4/5
環境乾淨但沒什麼特別 餐點還不錯
停車方便，菜餚美味 餐點：4/5  |  服務：4/5  |  氣氛：4/5
經典美味 餐點：5/5  |  服務：5/5  |  氣氛：5/5

餐點好下飯。用餐環境乾淨。 餐點：4/5  |  服務：3/5  |  氣氛：2/5  建議的餐點 砂鍋醃鮮 刈包
有一次因受傷坐輪椅外勞推去他們餐廳，想要個包箱，因為我們總共約好有8、9個人，我先到要一包廂，服務人員看我們推輪椅，第一句話就是包廂5000元消費哦一臉瞧不起的樣子，怎麼這老店也會有這觀念後來我們也在外場消費萬把元，心想什?時代還有水準這?低的店，發誓以後再也不會來消費 餐點：2/5  |  服務：1/5  |  氣氛：2/5
價格偏高，東西差強人意 師傅與老闆，老闆娘 午休時間都在打牌 令人髮指 餐點：4/5  |  服務：3/5  |  氣氛：2/5
餐點：3/5  |  服務：3/5  |  氣氛：3/5
餐點：3/5  |  服務：4/5  |  氣氛：1/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 東坡肉 砂鍋醃鮮
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 蟹黃豆腐煲 刈包 蝦鬆
餐點：5/5  |  服務：5/5  |  氣氛：5/5

蟹黃獅子頭餐盒量挺大，不是女生一餐能吃得完的量，菜飯好吃，獅子頭口感也適中，綿軟中還保留咬感，還不錯。  醃篤鮮的醃筍味偏重，百頁結也換成豆皮，還是好喝但不是我喜歡的路數，遺憾。 餐點：4/5  |  服務：5/5  |  氣氛：5/5
好吃，食材優，服務好。 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 東坡肉 砂鍋極品大鮑魚 刈包
餐點：4/5  |  服務：4/5  |  氣氛：3/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
藏在青年發展中心裡面，第一次去不太好找 上海合菜，價格貴，味道還行沒有到特別好吃 可能沒有很合口味啦，之後不會特別來 餐點：3/5  |  服務：4/5  |  氣氛：4/5
道地上海菜~好吃 又不貴~ 服務超親切 推推！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 東坡肉 臭豆腐 蟹黃豆腐煲 蝦鬆
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 蟹黃豆腐煲 蝦鬆
餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 無錫脆鱔 刈包
餐點中規中矩，不過地下室停車場很容易滿，偶爾想吃上海菜可以來 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：4/5  |  氣氛：4/5
與好友相聚的好地方 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 東坡肉 砂鍋醃鮮 鄉村菜飯

空間寬大，上海菜地道，價格合理，菜餚略鹹。 餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點：3/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 東坡肉
